"Site_SPC_year","site","SPC_Rep","year","Observer","Lat","Lon","site_year","geographic","Acanthurus.blochii","Acanthurus.guttatus","Acanthurus.lineatus","Acanthurus.maculiceps","Acanthurus.nigricauda","Acanthurus.xanthopterus","Aphareus.furca","Caesio.caerulaurea","Calotomus.carolinus","Carangoides.ferdau","Carangoides.orthogrammus","Caranx.lugubris","Caranx.melampygus","Cephalopholis.argus","Cephalopholis.urodeta","Cheilinus.trilobatus","Cheilinus.undulatus","Chlorurus.bleekeri","Chlorurus.frontalis","Chlorurus.microrhinos","Chlorurus.sordidus","Ctenochaetus.striatus","Elagatis.bipinnulata","Epinephelus.hexagonatus","Epinephelus.howlandi","Epinephelus.spilotoceps","Hipposcarus.longiceps","Kyphosus.cinerascens","Kyphosus.vaigiensis","Lethrinus.harak","Lethrinus.olivaceus","Lethrinus.xanthochilus","Lutjanus.argentimaculatus","Lutjanus.bohar","Lutjanus.fulvus","Lutjanus.gibbus","Lutjanus.monostigma","Lutjanus.semicinctus","Macolor.macularis","Macolor.niger","Monotaxis.grandoculis","Mulloidichthys.vanicolensis","Myripristis.adusta","Myripristis.sp","Naso.lituratus","Naso.unicornis","Naso.vlamingii","Parupeneus.barberinus","Parupeneus.trifasciatus","Pempheris.oualensis","Sargocentron.tiere","Scarus.dimidiatus","Scarus.forsteni","Scarus.frenatus","Scarus.ghobban","Scarus.oviceps","Scarus.psittacus","Scarus.rivulatus","Scarus.rubroviolaceus","Selar.crumenophthalmus","Siganus.argenteus","Siganus.doliatus","Siganus.punctatus"
"KOS-03 5 2015","KOS-03",5,2015,"MM",5.28946582969,162.902358801,"KOS-03 2015","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276585514251747,0.526781206818531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277887453365055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 5 2017","KOS-03",5,2017,"SM",5.28946582969,162.902358801,"KOS-03 2017","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20450822630174,0.60730348972612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298290511371508,0,0,0,0,1.09830092822358,0,0,0,0.711660031857037,0,0,0,0,0,0,0,0,0,0,0.926451171576145,0,0.57955188347675,0,0,0,0,0.156636426603129
"KOS-03 5 2019","KOS-03",5,2019,"PH",5.28946582969,162.902358801,"KOS-03 2019","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300962235210978,0.449693962064401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18944689704813,0,0,0,0.510045201659274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301127210050915,0,0
"KOS-03 6 2012","KOS-03",6,2012,"BMT",5.28946582969,162.902358801,"KOS-03 2012","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524139588896165,0.0467420536348408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287052565187615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 6 2015","KOS-03",6,2015,"MM",5.28946582969,162.902358801,"KOS-03 2015","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642660609052689,0,0,0,0,0.0587112354405767,0.533500832233691,0,0,0,0,0,0,0.107964479836384,0,0,0,0,0,0,0,0,0,0,0.187931107901292,0,0,0,0,0.128395079637542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484680970633156,0
"KOS-03 6 2017","KOS-03",6,2017,"SM",5.28946582969,162.902358801,"KOS-03 2017","Walung Point",0,0,0,0,0,0,0,0,0.26223747554985,0,0,0,0,0,0,0,0,0,0,0,1.63996091891833,0.75720147708092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157610935708282,0,0,0,3.22644580825173,1.15167722798542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70376354906469,0,0,0,0,0
"KOS-03 6 2019","KOS-03",6,2019,"PH",5.28946582969,162.902358801,"KOS-03 2019","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,1.42154554272853,0,0,0,0,0,0,0,0.6693877888511,0.524642955741801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765067802488911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 7 2012","KOS-03",7,2012,"BMT",5.28946582969,162.902358801,"KOS-03 2012","Walung Point",0,0,0,0,0,0,0.142701690525247,0,0,0,0,0,0,0,0.0972556697133913,0,0,0,0,0,0.143765773808624,0.0467420536348408,0,0,0,0,0,0,0,0,0,0,0,0,0.155855299466986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 7 2015","KOS-03",7,2015,"MM",5.28946582969,162.902358801,"KOS-03 2015","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285273221745652,0,0,0,0,0.458136491379159,0.533506242883804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273458807028394,0,0,0,0,0,0,0,0.184034637666989,0,0,0,0.265201593323979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOS-03 7 2017","KOS-03",7,2017,"SM",5.28946582969,162.902358801,"KOS-03 2017","Walung Point",0,0,0,0,0,0,0,0,0,0,0,0,0,0.12781803309499,0,0,0,0,0,0,1.67432518546722,1.81419892887144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19436622311287,0,0,0,0.329932342115362,0,0,0,0,0,0,0,0.344286686843439,0,0,0,0,0,0,0.955620860076531,0,0,0.664128758041173,0,0,0,0
